,Pred: LAYING,Pred: SITTING,Pred: STANDING,Pred: WALKING,Pred: WALKING_DOWNSTAIRS,Pred: WALKING_UPSTAIRS
True: LAYING,293,0,0,0,0,0
True: SITTING,0,224,40,0,0,0
True: STANDING,0,22,260,1,0,0
True: WALKING,0,0,0,229,0,0
True: WALKING_DOWNSTAIRS,0,0,0,1,199,0
True: WALKING_UPSTAIRS,0,0,0,0,1,215
