mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,mean_score_time,params
0.9133503728516825,0.051087096659256113,1.0,0.0,46.1544427394867,0.06317577362060547,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9112437742516397,0.053343495576097244,1.0,0.0,28.921048212051392,0.04179105758666992,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.911172677786942,0.05644142398046172,1.0,0.0,37.452124977111815,0.05418753623962402,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9102018010678087,0.051792062586746235,1.0,0.0,48.50401420593262,0.06137251853942871,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9085292798848597,0.05512423595367829,0.9999168312705431,0.00010186047577993993,29.51022152900696,0.044210052490234374,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
0.9084442709536538,0.05564149866638355,1.0,0.0,36.80003623962402,0.04709062576293945,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9084320332107788,0.052406229758462465,1.0,0.0,38.906254291534424,0.044263029098510744,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9083982465313116,0.05280861921030775,1.0,0.0,53.02111930847168,0.05270509719848633,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.90816092226114,0.0520407103891294,1.0,0.0,57.04699006080627,0.05312991142272949,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9069907286452464,0.052795855019247044,0.9997089051237523,0.000362537975071581,37.932398319244385,0.047950363159179686,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
0.9068644556604479,0.04983973771084021,1.0,0.0,60.22746210098266,0.04964437484741211,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9065233134908113,0.051476475034801725,1.0,0.0,54.55544509887695,0.053301239013671876,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9064906728160583,0.0573937006715048,0.9994954559104097,0.00048415889577446865,35.22465648651123,0.045235490798950194,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9058460789088271,0.05233370907452449,0.9999584199584198,8.316008316007206e-05,54.75895619392395,0.05116548538208008,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9057946246079777,0.052271319859076903,1.0,0.0,66.95657420158386,0.05603280067443848,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9056241505221706,0.050722718121922396,1.0,0.0,53.05756368637085,0.05257706642150879,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
0.9055616649716134,0.05304409682089646,1.0,0.0,65.02908282279968,0.05479288101196289,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9055596174759952,0.04621768150648835,0.9996645592257479,0.0003368713265697903,57.40669407844543,0.05307292938232422,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.8}"
0.9055420452451296,0.04960101030496742,1.0,0.0,51.664132070541385,0.05828499794006348,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
0.9052941125553943,0.05580981110844062,0.9997839796158458,0.00014039026571940132,24.440135145187377,0.04161615371704101,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
0.9050721841687379,0.05625852735095869,0.9986004943255749,0.0006426057111715807,38.9254554271698,0.04772815704345703,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9049302984074089,0.052667168463603566,1.0,0.0,69.74967904090882,0.06012225151062012,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
