,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,293.0
SITTING,0.9105691056910569,0.8484848484848485,0.8784313725490196,264.0
STANDING,0.8666666666666667,0.9187279151943463,0.8919382504288165,283.0
WALKING,0.9913419913419913,1.0,0.9956521739130435,229.0
WALKING_DOWNSTAIRS,0.995,0.995,0.995,200.0
WALKING_UPSTAIRS,1.0,0.9953703703703703,0.9976798143851509,216.0
accuracy,0.9562289562289562,0.9562289562289562,0.9562289562289562,0.9562289562289562
macro avg,0.9605962939499525,0.9595971890082607,0.9597836018793385,1485.0
weighted avg,0.9566829808662773,0.9562289562289562,0.9561128585572902,1485.0
