,Pred: LAYING,Pred: SITTING,Pred: STANDING,Pred: WALKING,Pred: WALKING_DOWNSTAIRS,Pred: WALKING_UPSTAIRS
True: LAYING,293,0,0,0,0,0
True: SITTING,0,230,34,0,0,0
True: STANDING,0,13,270,0,0,0
True: WALKING,0,0,0,228,0,1
True: WALKING_DOWNSTAIRS,0,0,0,2,191,7
True: WALKING_UPSTAIRS,0,0,0,1,2,213
