model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,fit_time_mean,score_time_mean,total_time
LogReg C=0.1,0.9159939876467798,0.058786197061427035,0.913188186603503,0.05566912626439327,1.4173364162445068,0.01838850975036621,4.331469535827637
LogReg C=1,0.915274058275787,0.06030805652795024,0.9129128102584001,0.057116691865085056,1.8648348808288575,0.01842532157897949,2.167384624481201
LogReg C=0.01,0.9148183444064104,0.05045241146906862,0.9106968889607977,0.04894873608133572,2.5723938941955566,0.028508090972900392,7.778014183044434
LogReg C=10,0.9028928029668501,0.05919668570827519,0.9007070926417541,0.056381842532486716,2.0668296813964844,0.019080352783203126,2.7016472816467285
LogReg C=100,0.9008151045171893,0.054662395758584725,0.8977455810276702,0.051046877473447626,1.2724693775177003,0.017944860458374023,1.7950804233551025
