,precision,recall,f1-score,support
LAYING,1.0,0.9556313993174061,0.9773123909249564,293.0
SITTING,0.9123505976095617,0.8674242424242424,0.8893203883495145,264.0
STANDING,0.8446601941747572,0.9222614840989399,0.8817567567567568,283.0
WALKING,1.0,1.0,1.0,229.0
WALKING_DOWNSTAIRS,1.0,0.99,0.9949748743718593,200.0
WALKING_UPSTAIRS,0.9908256880733946,1.0,0.9953917050691244,216.0
accuracy,0.9515151515151515,0.9515151515151515,0.9515151515151515,0.9515151515151515
macro avg,0.9579727466429523,0.9558861876400981,0.956459352578702,1485.0
weighted avg,0.9534799605011675,0.9515151515151515,0.9519662346106055,1485.0
