,Pred: LAYING,Pred: SITTING,Pred: STANDING,Pred: WALKING,Pred: WALKING_DOWNSTAIRS,Pred: WALKING_UPSTAIRS
True: LAYING,280,0,13,0,0,0
True: SITTING,0,229,35,0,0,0
True: STANDING,0,22,261,0,0,0
True: WALKING,0,0,0,229,0,0
True: WALKING_DOWNSTAIRS,0,0,0,0,198,2
True: WALKING_UPSTAIRS,0,0,0,0,0,216
