mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,mean_score_time,params
0.8757917254208962,0.03347103107175548,1.0,0.0,0.2089224338531494,4.218977165222168,"{'model__weights': 'distance', 'model__n_neighbors': 15, 'model__metric': 'manhattan'}"
0.8724405102559529,0.03227055347051326,0.9820734653754583,0.00178911210448206,0.1968665599822998,3.9993781089782714,"{'model__weights': 'uniform', 'model__n_neighbors': 11, 'model__metric': 'manhattan'}"
0.8711018097474849,0.03605969805877786,1.0,0.0,0.20683765411376953,3.7382574558258055,"{'model__weights': 'distance', 'model__n_neighbors': 9, 'model__metric': 'manhattan'}"
0.8660005340356504,0.03482979810433957,1.0,0.0,0.15459113121032714,3.793011283874512,"{'model__weights': 'distance', 'model__n_neighbors': 5, 'model__metric': 'manhattan'}"
0.858394656337737,0.04664310313476711,1.0,0.0,0.2051948070526123,0.19838523864746094,"{'model__weights': 'distance', 'model__n_neighbors': 15, 'model__metric': 'euclidean'}"
0.8570295740963676,0.0480969927426887,1.0,0.0,0.16836795806884766,0.2118514060974121,"{'model__weights': 'distance', 'model__n_neighbors': 21, 'model__metric': 'euclidean'}"
0.8569481841870343,0.048278039620778375,0.9599297696858805,0.004344110202924215,0.17356982231140136,0.21599502563476564,"{'model__weights': 'uniform', 'model__n_neighbors': 21, 'model__metric': 'euclidean'}"
0.8560539526222085,0.04317375423279864,1.0,0.0,0.2401876926422119,0.39112324714660646,"{'model__weights': 'distance', 'model__n_neighbors': 11, 'model__metric': 'euclidean'}"
0.8550420636445617,0.043114466738585745,0.9727081042505995,0.0016106937942799604,0.1910487174987793,0.23609113693237305,"{'model__weights': 'uniform', 'model__n_neighbors': 11, 'model__metric': 'euclidean'}"
0.8341580081794909,0.04001430206655956,0.9911221971897962,0.0014522443666816149,0.1816539764404297,0.222067928314209,"{'model__weights': 'uniform', 'model__n_neighbors': 3, 'model__metric': 'euclidean'}"
