,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,293.0
SITTING,0.9465020576131687,0.8712121212121212,0.9072978303747534,264.0
STANDING,0.8881578947368421,0.9540636042402827,0.919931856899489,283.0
WALKING,0.987012987012987,0.9956331877729258,0.991304347826087,229.0
WALKING_DOWNSTAIRS,0.9896373056994818,0.955,0.9720101781170484,200.0
WALKING_UPSTAIRS,0.9638009049773756,0.9861111111111112,0.9748283752860412,216.0
accuracy,0.9595959595959596,0.9595959595959596,0.9595959595959596,0.9595959595959596
macro avg,0.9625185250066425,0.96033667072274,0.9608954314172364,1485.0
weighted avg,0.9605115542500918,0.9595959595959596,0.9594888909487265,1485.0
